,AC,ACEN,AEV,AGI,ALI,AREIT,BDO,BLOOM,BPI,CBC,CNPF,CNVRG,DMC,EMI,GLO,GTCAP,ICT,JFC,JGS,LTG,MBT,MER,MONDE,PGOLD,SCC,SM,SMC,SMPH,TEL,URC
Seasonality_Index_January,1.08549918305024,1.0397281805849883,1.1298903348441263,1.1094085508840976,1.0774103560900854,1.0500161398382306,0.9793052451247165,1.0415320216537067,0.9655474613118925,0.8542472365747779,0.986771426533813,1.0858978348162425,1.0337111738735547,1.077064681124501,1.0641184045290708,0.9888849645076844,0.8872806019926825,1.04950007309034,1.120962009987032,0.9855468736409341,0.9560344899473141,0.9385360178276343,1.051908898591626,1.0409776503200285,0.9585922170801372,1.0174629870284924,1.028236482801728,1.0451552863231257,1.0076326695882751,1.0570611284144216
Seasonality_Index_February,1.075500566311193,0.9921013680893425,1.1055252703827705,1.135396973772765,1.094021850536929,1.0561744413249408,1.0530180244108285,1.1203779903200242,1.012886344411864,0.9125913347618448,0.9992736832793031,1.0148792589672364,1.044074536997477,1.0927324830509455,0.995299092604049,1.0772751314767532,0.9470763856270192,1.0685435859156514,1.1144796411204008,1.008492306917966,1.0048497211531382,0.9679933902948891,1.0616911669785691,1.0012951729455155,0.9481603773872521,1.0072926883268407,1.034151422120161,1.0742921905838394,0.9887814890732608,1.048027764627668
Seasonality_Index_March,1.0166386414504935,0.9338665844177164,1.0963458765010423,1.1030005770841407,1.0445854910601262,1.042061914386851,1.0299205709535513,1.0898483022503633,0.9966959752875778,0.9287648410236238,0.9449256575345769,0.9651467085656465,1.0456380056126335,0.9463862294353846,0.9284709666005397,1.0184923065006153,1.0028611983040294,1.0124707564252493,1.09326464717255,1.0042941433600376,1.0141764881611224,0.977539498987319,0.9986203961236196,0.9606496918800421,0.989466431779144,1.0151774773445734,1.0203430663395556,1.0509281860950908,0.9968079010746049,1.005614664167555
Seasonality_Index_April,0.9716558777421866,0.8927255523390792,1.0372747647851588,1.0582451664035024,0.981636960106496,0.9945516916853834,1.0608107396472235,1.0563617038947888,1.0367254120142217,0.9831667538038567,1.003106191849689,0.9724438410106653,1.0717581382811923,0.9801687223235087,0.9158174419386447,0.9990341890499188,1.0908934550412852,0.9658204197225727,1.0074696128730967,1.0115207333264042,1.075107781136719,1.0115648859995081,0.9260486014927014,0.9602771649843362,1.0242325296975368,1.0057180450801895,1.0167500762226862,0.991942979006059,1.0256510494407851,0.9814791975814547
Seasonality_Index_May,0.9424727110013102,0.8816187576243671,0.9909976362226882,1.053463998981313,0.9106487040226471,0.9581497848749246,1.0403184076044647,1.127827538770973,1.0476464872122635,1.0438332414785563,0.9725203020173465,0.8971047544328523,1.054688552708093,1.0394907046044017,0.9278236948685177,0.9827753936117362,1.0866144512914202,0.9570802389269623,0.9858759765337274,1.0246805357884643,1.0708522846578956,1.0185810693283708,0.9652120097434572,0.9305117978924727,1.0568283425206602,0.9867451845564761,0.9981537887669842,0.9741735862086294,1.0370756112032538,1.0197821558522995
Seasonality_Index_June,0.9660191642341235,0.9782000476306907,0.9508255860297129,0.9792761079991497,0.9578370447257285,0.9449511738229734,0.9344401824515828,0.9935608568611759,0.941633220070581,0.9295640099436708,0.8870695239775686,0.946053304824479,0.8909279401414126,0.8998168873989559,0.8912764014013476,0.9735792783910457,0.9071567954818589,0.9248177779893617,1.0430844280345917,1.0203519261610858,0.9484113848507862,0.9450357992225804,0.9802377679465284,0.982016182504788,0.8824817194385042,0.9915150017977109,1.0239527882825976,1.0168788732364105,0.9676619822047892,1.0100360543740463
Seasonality_Index_July,0.9283325718758826,1.0006932872829437,0.9395435772516953,0.9553655069968022,0.9390734937666613,0.9590547449703843,0.9629371914538789,0.9919002696586418,0.9844122235111001,0.9596810684490059,0.9435273275323603,0.9272374208027634,0.9285810895712333,0.9312263831590003,0.9257934294717897,0.9762205663610832,0.9579929919984573,0.9593118325630263,1.0002296780364304,0.9909356299964799,0.9503447517124227,0.9682162088558508,0.989762210660234,0.9714468041624267,0.9622732836127545,0.9943793433641753,1.015637697208412,1.0026769512673495,0.9669023349253753,1.0319662099710563
Seasonality_Index_August,0.9645959791086829,1.056917979586701,0.9366498896809602,0.954901357430979,0.9814520303196724,0.9824189184360899,0.9703847076936044,0.9614464273805298,0.9778846344113086,0.9610189871976414,0.9747962619501677,0.9857626085167963,0.9324418772990362,0.9842032300672107,0.9690030744923146,0.9724238655396074,0.9826317677317129,0.9757086093050445,0.9918144994146724,0.9631696863275564,0.9625486987428244,0.9661011781319464,1.0204646059728737,0.9933651236273442,0.9900771780352877,0.9954626784313646,0.9868329806227212,0.9912309960403755,0.9925291480915892,0.9939220549687497
Seasonality_Index_September,1.0028020249691316,1.0310383559663907,0.9656785690640421,0.9594508892159245,1.0083298349542635,0.9820919967329659,0.9930600331840692,0.9771403564016743,0.9869782072083472,1.004697957411554,1.043529268192121,1.0879527681322163,0.9914598837783452,1.0216384083515881,1.04859278530537,1.0336175192059567,1.0258044135769266,1.001515330946663,0.9726032570132609,0.9732006367075051,0.9939939431833644,1.0088654474397685,1.0669994316796365,1.0413339652338602,1.0276845667081298,0.9966395386274849,0.9799869448722094,0.9738975464303117,1.0042772665831374,0.9857992964189694
Seasonality_Index_October,1.013113048004192,1.0528267690802178,0.9725334580982967,0.9240959461185277,1.0142339986190025,0.9878202409591044,1.0231675726603993,0.9402620131750318,1.0312432035440802,1.1235616838227918,1.0645100449202332,1.0409497215160157,1.0511134229040948,1.0223429836780709,1.0991954526005165,1.0144774864194193,1.0445546706972628,1.0177889708744314,0.9266045905076501,0.9836346054795827,1.0293520759067563,1.0711067544673252,1.001687272632193,1.0298722030951521,1.1062710151059094,0.9936403878672235,0.9715699421826322,0.9691521603600152,1.015398466944917,0.9688929725040646
Seasonality_Index_November,1.025997345616368,1.0547576900939473,0.9738638410906548,0.921111834611342,1.008735501343905,1.0222602325945678,1.0098868466977382,0.9304095328773936,1.0254302369394186,1.1125957821744952,1.0738848297619845,1.0212851914274088,1.0037434410995636,1.0186518626331589,1.099933682812521,0.9967300105221385,1.0252476008241014,1.0512831503038578,0.9062818213303585,1.013577128095765,1.0175353166775498,1.0638279166974134,0.993834099903806,1.0471878827867862,1.0205309317469884,0.9943442291372538,0.9743060338380753,0.9733415318233262,1.0111996011847129,0.9633953631581356
Seasonality_Index_December,1.0383514063908879,1.0159957372613093,0.9983521990790392,0.9668641747263618,1.0155317060405282,1.0547519608084004,0.9903349634169505,0.8733470230374504,1.0135410725641811,1.126258336567575,1.0947347313800868,1.0430633477272373,1.0227058918468765,1.027410127474503,1.0986457603609936,0.9858349900909675,1.0533830608787127,1.0363464760658125,0.9130416572028732,1.0358676667445832,1.0149160174814253,1.0466766867842765,0.9344368405114618,1.0159606751113985,1.0256190338728395,1.0113039616928665,0.9751218314496064,0.970763663391782,1.0015500163163447,0.9569997527015407
